lat,lon,diam_km
44.7763,-31.398000000000025,249.84
51.6065,-9.356999999999971,103.052
54.6395,-28.398000000000025,20.7745
53.506,-28.24000000000001,37.1614
52.3195,-35.834,22.3594
53.0094,-13.752999999999929,22.0914
50.4434,-39.867999999999995,23.3454
48.7596,-34.36099999999999,38.0865
48.8959,-1.7519999999999527,53.462
40.4167,-23.10699999999997,23.5671
29.9785,-34.68000000000001,24.916
29.7233,-4.017000000000053,79.9119
26.6979,-13.100000000000023,33.7036
25.7656,-20.980000000000018,29.7878
23.2731,-29.175999999999988,25.9812
20.2001,-3.5319999999999254,29.3384
20.2757,-8.733999999999924,25.2861
17.5889,-34.954999999999984,33.3063
15.5478,-29.190999999999974,32.5646
14.4736,-11.312000000000012,58.9054
13.8891,-20.777000000000044,25.9766
9.62058,-20.072000000000003,93.0195
8.11714,-38.00400000000002,30.0286
5.52659,-1.6580000000000155,45.543
4.56713,-36.67700000000002,28.0329
4.29387,-21.670000000000073,25.6649
3.25908,-22.850000000000023,43.4737
4.03501,-1.5430000000000064,21.5569
0.923539,-15.245000000000005,25.3048
0.16826,-7.520999999999958,27.5829
10.4364,-13.735000000000014,66.4835
5.00947,-0.14699999999993452,56.8595
47.7687,-12.394000000000005,20.8859
45.2196,-21.625999999999976,54.3209
23.8813,-20.662000000000035,56.007
15.2487,-23.297000000000025,24.6106
49.5798,-27.225000000000023,41.2361
15.4538,-2.024000000000001,23.9568
17.5206,-1.1440000000000055,33.987
-0.325913,-26.62200000000007,39.1067
-0.692681,-5.8659999999999854,24.7479
-1.548,-0.4759999999999991,40.7473
-2.38314,-3.9049999999999727,44.8346
-4.46319,-8.629999999999995,23.0609
-4.73139,-7.019999999999982,23.7943
-3.29336,-5.240000000000009,27.1492
-4.3266,-1.759999999999991,26.9048
-5.68572,-2.086999999999989,40.042
-5.80582,-10.469000000000051,21.837
-4.48164,-27.67700000000002,65.5865
-6.65402,-38.95100000000002,65.5626
-7.86281,-15.777000000000044,46.6967
-9.26078,-1.86200000000008,153.419
-8.87899,-14.524999999999977,27.7104
-8.36587,-17.339999999999918,60.339
-9.59008,-35.36500000000001,66.3859
-9.62083,-37.65100000000001,54.2879
-9.47807,-7.254000000000019,29.2316
-10.278,-7.576000000000022,25.8393
-11.0337,-7.175999999999931,65.977
-11.836,-8.149000000000001,33.5061
-9.79961,-5.927000000000021,21.6143
-10.2703,-4.557999999999993,28.6668
-11.6572,-14.192999999999984,56.1669
-12.2711,-15.302999999999997,21.2795
-13.5055,-13.928999999999974,21.5075
-13.4259,-2.7919999999999163,114.909
-13.2628,-0.19799999999997908,23.334
-15.0217,-0.8399999999999181,22.8399
-15.5447,-39.781000000000006,32.6498
-16.6547,-27.399999999999977,35.6627
-16.4553,-25.652000000000044,28.8908
-16.3272,-17.58699999999999,50.3846
-15.4818,-7.892000000000053,22.3046
-16.0294,-4.514999999999986,40.2819
-17.9541,-5.988000000000056,25.7566
-17.887,-23.874000000000024,43.3028
-3.45234,-3.730000000000018,70.5422
0.157047,-4.572000000000003,34.8588
-4.5355,-17.336000000000013,21.8403
-6.03744,-17.019999999999982,98.1964
-2.76921,-2.08400000000006,31.6686
-11.1109,-0.5570000000000164,21.615
-12.7921,-9.829999999999927,25.7475
-15.5945,-2.8759999999999764,30.4484
-2.33121,-24.399999999999977,36.5244
-12.0911,-0.5940000000000509,21.6888
38.9191,10.708400000000012,30.7058
39.3367,8.92971,29.4789
36.9973,6.054460000000006,23.7289
40.1422,13.660599999999988,83.3287
40.2495,4.616250000000008,55.3379
33.8471,1.2261100000000056,53.315
35.8104,0.8241390000000024,33.8593
30.6883,1.4794499999999857,38.2225
35.4109,31.160500000000013,25.4869
33.794,30.782399999999996,20.9583
31.8743,30.014499999999998,96.6806
29.8734,31.671600000000012,51.7619
26.7159,68.92340000000002,20.524
23.9698,64.82490000000001,44.4278
22.4156,61.268699999999995,23.0253
23.2718,49.57939999999999,28.1817
26.622,30.5454,62.848
21.6523,1.9555900000000008,20.4502
14.4325,9.07217,37.0163
16.2592,15.93440000000001,26.7231
15.347,23.624300000000005,40.9433
20.3851,29.4949,58.7218
20.0723,30.81280000000001,21.6361
17.6666,31.286900000000003,30.2188
19.4063,34.752099999999984,40.2408
21.2492,32.8844,21.8523
19.1713,36.41059999999999,23.9799
18.4824,33.251900000000006,26.0864
16.7027,36.2088,59.2331
17.8525,35.795799999999986,33.3387
21.253,33.67949999999999,21.7682
16.5492,40.26140000000001,24.6696
21.4078,48.18950000000001,35.5382
21.2626,45.989000000000004,63.2427
20.3476,49.51480000000001,25.5373
15.3154,48.77250000000001,30.2434
14.5902,51.7003,35.0076
22.1561,65.4725,21.3208
15.9181,71.8235,35.0396
14.9484,71.8928,25.6342
8.80399,70.3118,47.3848
12.0697,69.62869999999998,75.8231
10.2206,64.03620000000001,31.7966
9.36626,64.3768,23.2184
9.87425,68.3101,20.1689
